AgeGeneration,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHomeCategory,Education,EducationField,EmployeeEngagementScore,EmployeeId,ExperiencePriorToCurrentJob,Gender,HourlyRate,JobLevel,JobRole,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceSatisfactionIndex,StockOptionLevel,TrainingTimesLastYear,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
Gen Z,0,Travel_Rarely,330,Human Resources,Short Distance,Bachelor,Life Sciences,Better,48,Junior,Male,46,Staff,Human Resources,Divorced,2064,15428,0,No,21,Medium,1,3,3,1,3
Millennials,0,Travel_Frequently,216,Research & Development,Long Distance,Bachelor,Life Sciences,Better,49,Junior,Male,44,Senior Supervisor,Manufacturing Director,Single,9526,8787,0,No,21,High,0,2,7,1,8
Gen Z,0,Travel_Rarely,1343,Sales,Long Distance,Below College,Technical Degree,Better,50,Junior,Male,49,Staff,Sales Representative,Single,3447,24444,1,No,11,High,0,2,2,1,2
Millennials,0,Travel_Rarely,950,Research & Development,Short Distance,Bachelor,Other,Better,51,Mid-level,Male,59,Senior Supervisor,Manufacturing Director,Single,10221,18869,3,No,21,Medium,0,3,5,1,6
Gen Y,0,Travel_Rarely,264,Sales,Short Distance,Bachelor,Marketing,Better,52,Expert,Male,59,Senior Manager,Manager,Married,19331,19519,4,Yes,16,High,1,2,0,0,0
Millennials,0,Travel_Frequently,426,Research & Development,Short Distance,Master,Life Sciences,Better,53,Junior,Male,42,Junior Supervisor,Manufacturing Director,Divorced,4724,17000,1,No,13,Medium,1,3,7,7,2
Gen Z,0,Travel_Frequently,1479,Research & Development,Short Distance,Bachelor,Life Sciences,Good,54,Junior,Female,84,Junior Supervisor,Manufacturing Director,Divorced,6397,26767,1,No,20,Medium,1,6,5,1,4
Millennials,1,Travel_Frequently,523,Research & Development,Short Distance,Bachelor,Life Sciences,Good,55,Junior,Male,94,Staff,Laboratory Technician,Married,3722,21081,6,Yes,13,High,1,2,2,2,2
Gen Z,0,Travel_Rarely,241,Research & Development,Short Distance,Bachelor,Medical,Good,56,Junior,Male,48,Staff,Research Scientist,Married,2141,5348,1,No,12,Medium,1,3,4,1,1
Millennials,0,Travel_Rarely,1062,Research & Development,Short Distance,Bachelor,Medical,Better,57,Junior,Female,75,Staff,Laboratory Technician,Married,2370,3956,1,No,13,Medium,1,4,0,0,7
Millennials,0,Travel_Rarely,929,Sales,Short Distance,Bachelor,Marketing,Good,58,Junior,Male,55,Junior Supervisor,Sales Executive,Single,5396,21703,1,No,12,Very High,0,2,7,0,8
Millennials,0,Travel_Rarely,1303,Research & Development,Short Distance,Master,Life Sciences,Good,59,Mid-level,Male,62,Staff,Research Scientist,Divorced,2768,8416,3,No,12,High,1,3,3,5,7
Millennials,0,Travel_Frequently,553,Research & Development,Short Distance,Master,Life Sciences,Better,60,Junior,Female,74,Senior Supervisor,Manager,Married,11878,23364,6,No,11,Medium,2,2,6,8,8
Gen Y,0,Travel_Rarely,983,Research & Development,Short Distance,College,Medical,Better,61,Senior,Female,65,Junior Supervisor,Manufacturing Director,Divorced,5070,7389,5,No,13,Medium,3,2,0,0,4
Millennials,0,Travel_Rarely,660,Sales,Short Distance,Below College,Life Sciences,Better,62,Junior,Male,76,Staff,Sales Representative,Married,2404,16192,1,No,13,Medium,1,3,0,0,0
Gen Z,0,Travel_Rarely,921,Research & Development,Short Distance,Bachelor,Life Sciences,Good,63,Junior,Male,38,Staff,Laboratory Technician,Married,3833,24375,3,No,21,High,2,2,2,0,2
Gen X,0,Travel_Rarely,1145,Research & Development,Short Distance,Bachelor,Medical,Good,64,Mid-level,Female,75,Staff,Research Scientist,Married,3346,11873,4,Yes,20,Medium,1,3,0,0,0
Millennials,1,Travel_Rarely,625,Sales,Short Distance,Master,Life Sciences,Good,65,Junior,Male,46,Senior Supervisor,Sales Executive,Married,10609,14922,5,No,11,Medium,0,2,1,11,7
Gen Y,0,Travel_Rarely,1005,Research & Development,Long Distance,College,Technical Degree,Good,66,Junior,Female,48,Junior Manager,Research Director,Single,16704,17119,1,No,11,High,0,2,6,8,6
Gen X,0,Non-Travel,585,Sales,Long Distance,Master,Life Sciences,Good,67,Mid-level,Male,40,Staff,Sales Representative,Divorced,3482,19788,2,No,15,Medium,2,3,8,0,0
Millennials,0,Travel_Rarely,1380,Research & Development,Short Distance,College,Life Sciences,Better,68,Junior,Female,75,Staff,Laboratory Technician,Single,2288,6319,1,No,12,High,0,3,2,2,1
Gen Y,1,Travel_Rarely,1372,Sales,Short Distance,Bachelor,Marketing,Good,69,Junior,Female,85,Junior Supervisor,Sales Executive,Single,5346,9489,8,No,13,Medium,0,2,3,1,3
Gen Z,0,Travel_Rarely,728,Sales,Long Distance,Below College,Medical,Better,70,Junior,Female,36,Junior Supervisor,Sales Representative,Married,3540,7018,1,No,21,High,1,5,8,5,8
Gen X,0,Travel_Frequently,322,Research & Development,Long Distance,College,Medical,Better,71,Senior,Female,59,Junior Manager,Manufacturing Director,Married,13247,9731,2,Yes,11,High,1,3,3,0,2
Gen Y,0,Travel_Rarely,271,Research & Development,Short Distance,College,Medical,Better,72,Mid-level,Female,43,Junior Supervisor,Laboratory Technician,Married,4789,23070,4,No,25,Low,1,3,2,1,2
Gen Y,0,Travel_Rarely,1488,Sales,Short Distance,Doctor,Marketing,Better,73,Junior,Female,75,Junior Supervisor,Sales Executive,Divorced,5454,4009,5,Yes,21,Medium,1,2,3,1,3
Gen X,0,Travel_Rarely,142,Research & Development,Short Distance,Bachelor,Life Sciences,Good,74,Mid-level,Male,70,Staff,Research Scientist,Married,2177,8456,3,No,17,Medium,1,6,0,0,0
Gen X,0,Travel_Rarely,605,Sales,Long Distance,Bachelor,Life Sciences,Good,75,Expert,Female,72,Junior Manager,Manager,Married,17875,11761,4,Yes,13,High,1,2,0,0,0
Millennials,0,Travel_Rarely,471,Research & Development,Short Distance,Bachelor,Medical,Better,76,Junior,Female,62,Staff,Laboratory Technician,Divorced,3978,16031,8,No,12,Medium,1,0,2,2,2
Gen Y,0,Non-Travel,926,Research & Development,Long Distance,College,Medical,Better,77,Mid-level,Female,36,Junior Supervisor,Manufacturing Director,Divorced,5265,16439,2,No,16,Medium,1,5,3,0,2
Gen Y,0,Travel_Rarely,561,Sales,Short Distance,Bachelor,Other,Better,78,Junior,Male,61,Junior Supervisor,Sales Executive,Married,4805,16177,0,No,19,Medium,1,3,7,3,7
Millennials,0,Travel_Rarely,1079,Sales,Short Distance,College,Medical,Better,79,Junior,Female,86,Junior Supervisor,Sales Executive,Divorced,6583,20115,2,Yes,11,High,1,2,2,1,4
Millennials,0,Travel_Rarely,1130,Research & Development,Short Distance,Bachelor,Life Sciences,Better,80,Junior,Female,66,Junior Supervisor,Research Scientist,Divorced,5433,19332,1,No,12,High,1,2,8,7,9
Gen Z,1,Travel_Rarely,1427,Research & Development,Medium Distance,Below College,Other,Good,81,Junior,Female,65,Staff,Research Scientist,Single,2693,8870,1,No,19,High,0,3,0,0,0
Gen Z,0,Travel_Rarely,885,Research & Development,Short Distance,Bachelor,Medical,Better,82,Junior,Male,58,Staff,Research Scientist,Married,2819,8544,2,No,16,Low,1,3,2,0,2
Gen Y,0,Travel_Rarely,207,Research & Development,Short Distance,Master,Life Sciences,Better,83,Junior,Female,64,Staff,Laboratory Technician,Single,2105,5411,4,No,12,Medium,0,2,2,2,0
Gen X,0,Travel_Rarely,1147,Sales,Short Distance,Bachelor,Marketing,Better,84,Mid-level,Female,52,Junior Supervisor,Sales Executive,Married,5940,17011,2,No,14,High,1,4,2,0,5
Gen Y,0,Travel_Rarely,509,Research & Development,Short Distance,College,Technical Degree,Better,85,Junior,Female,43,Staff,Research Scientist,Married,3376,18863,1,No,13,Medium,0,3,6,0,8
Gen Y,0,Travel_Rarely,1038,Research & Development,Medium Distance,Bachelor,Medical,Good,86,Senior,Male,95,Senior Supervisor,Healthcare Representative,Divorced,10851,19863,2,Yes,18,Low,1,2,7,0,7
Millennials,0,Travel_Rarely,1120,Sales,Medium Distance,Master,Marketing,Good,87,Junior,Female,100,Junior Supervisor,Sales Executive,Married,6652,14369,4,No,13,Medium,1,2,3,0,0
Gen Y,0,Non-Travel,1052,Sales,Short Distance,Bachelor,Medical,Good,88,Junior,Female,57,Senior Supervisor,Sales Executive,Single,8865,16840,6,No,12,Very High,0,2,7,12,8
Gen Y,0,Travel_Rarely,1254,Sales,Short Distance,Bachelor,Life Sciences,Better,89,Mid-level,Female,64,Senior Supervisor,Sales Executive,Married,7314,14011,5,No,21,Medium,3,2,7,0,7
Gen Y,0,Travel_Rarely,419,Sales,Medium Distance,Master,Marketing,Better,90,Senior,Male,77,Junior Supervisor,Sales Executive,Divorced,5087,2900,3,Yes,12,High,2,4,0,0,0
Millennials,0,Travel_Rarely,1157,Research & Development,Short Distance,College,Medical,Better,91,Junior,Male,57,Junior Supervisor,Laboratory Technician,Married,3986,11912,1,No,14,High,1,3,10,4,13
Millennials,0,Travel_Rarely,783,Research & Development,Short Distance,Master,Medical,Better,92,Senior,Male,78,Junior Supervisor,Research Scientist,Married,4284,13588,5,Yes,22,Medium,1,2,3,0,4
Gen X,0,Travel_Rarely,111,Sales,Short Distance,College,Life Sciences,Better,93,Expert,Male,70,Senior Supervisor,Sales Executive,Married,10239,18092,3,No,14,High,1,4,0,1,0
Gen Z,0,Non-Travel,457,Research & Development,Long Distance,College,Other,Good,94,Junior,Female,85,Staff,Research Scientist,Married,2814,10293,1,Yes,14,Medium,0,2,2,1,3
Millennials,0,Travel_Frequently,1069,Research & Development,Short Distance,Below College,Life Sciences,Good,95,Junior,Male,45,Junior Supervisor,Manufacturing Director,Married,9547,14074,1,No,17,High,0,2,9,1,9
Gen Z,0,Travel_Rarely,136,Research & Development,Short Distance,Bachelor,Life Sciences,Good,96,Junior,Male,89,Junior Supervisor,Healthcare Representative,Married,5373,6225,0,No,12,Low,1,5,3,0,2
Gen X,0,Travel_Rarely,405,Research & Development,Short Distance,College,Life Sciences,Better,97,Junior,Male,93,Junior Supervisor,Research Scientist,Married,4900,2721,0,No,24,Medium,1,2,9,2,8
Gen X,0,Travel_Rarely,1168,Sales,Long Distance,Master,Life Sciences,Good,98,Senior,Male,66,Senior Supervisor,Sales Executive,Single,10448,5843,6,Yes,13,Low,0,2,2,2,2
Millennials,0,Travel_Rarely,147,Research & Development,Short Distance,Master,Medical,Better,99,Junior,Female,47,Staff,Research Scientist,Married,2622,13248,6,No,21,High,0,3,2,1,1
Millennials,0,Non-Travel,300,Research & Development,Short Distance,Bachelor,Life Sciences,Better,100,Junior,Male,61,Staff,Laboratory Technician,Divorced,2314,9148,0,No,12,High,1,2,0,0,2
Gen Z,1,Travel_Frequently,251,Research & Development,Short Distance,College,Life Sciences,Good,101,Junior,Female,45,Staff,Laboratory Technician,Single,2625,25308,1,No,20,Medium,0,2,2,2,2
Millennials,1,Travel_Frequently,296,Sales,Short Distance,College,Marketing,Good,102,Junior,Female,33,Staff,Sales Representative,Divorced,2351,12253,0,No,16,High,1,3,2,1,0
Gen X,0,Travel_Rarely,1441,Research & Development,Long Distance,Bachelor,Technical Degree,Good,103,Junior,Male,94,Staff,Research Scientist,Divorced,3537,23737,5,No,12,Medium,1,1,2,1,2
Gen Z,0,Travel_Frequently,1242,Sales,Medium Distance,Bachelor,Life Sciences,Better,104,Junior,Female,90,Junior Supervisor,Sales Executive,Single,9981,12916,1,No,14,High,0,2,7,0,7
Gen Y,0,Travel_Rarely,1319,Sales,Short Distance,Bachelor,Technical Degree,Better,105,Mid-level,Female,45,Junior Manager,Sales Executive,Divorced,13225,7739,2,No,12,Medium,1,5,17,2,8
Millennials,0,Travel_Rarely,917,Research & Development,Short Distance,Master,Life Sciences,Good,106,Junior,Male,60,Staff,Laboratory Technician,Divorced,2741,6865,1,No,14,High,1,4,7,1,7
Gen Y,1,Travel_Rarely,1360,Research & Development,Medium Distance,Bachelor,Technical Degree,Better,107,Junior,Female,49,Senior Manager,Research Director,Married,19545,16280,1,No,12,High,0,0,15,15,8
Millennials,0,Travel_Frequently,1189,Research & Development,Short Distance,Bachelor,Life Sciences,Better,108,Mid-level,Male,90,Junior Supervisor,Research Scientist,Married,4735,9867,7,No,15,Very High,2,4,11,2,9
Millennials,0,Travel_Frequently,1296,Research & Development,Short Distance,Bachelor,Life Sciences,Good,109,Junior,Male,30,Junior Supervisor,Healthcare Representative,Divorced,7725,5335,3,No,23,High,1,2,11,4,7
Gen Z,1,Non-Travel,247,Research & Development,Short Distance,Below College,Medical,Better,110,Junior,Male,80,Staff,Laboratory Technician,Single,1904,13556,1,No,12,High,0,0,0,0,0
Gen Z,0,Travel_Rarely,894,Research & Development,Short Distance,Bachelor,Medical,Good,111,Junior,Female,99,Staff,Research Scientist,Single,2279,11781,1,No,16,High,0,2,7,0,3
Gen Z,0,Travel_Rarely,1230,Research & Development,Short Distance,College,Life Sciences,Good,112,Junior,Male,33,Junior Supervisor,Manufacturing Director,Married,4775,19146,6,No,22,High,2,2,2,2,2
Millennials,1,Travel_Rarely,813,Research & Development,Medium Distance,Bachelor,Medical,Good,113,Junior,Male,58,Staff,Laboratory Technician,Married,2436,22149,5,Yes,13,High,1,2,4,0,4
Gen Y,0,Travel_Frequently,1368,Research & Development,Long Distance,Master,Technical Degree,Better,114,Junior,Female,88,Junior Supervisor,Healthcare Representative,Married,4523,4386,0,No,11,Very High,3,4,5,0,4
Gen Z,0,Travel_Frequently,806,Research & Development,Short Distance,Master,Life Sciences,Good,115,Junior,Male,76,Staff,Research Scientist,Divorced,2720,18959,1,No,18,High,1,5,7,2,8
Millennials,0,Non-Travel,792,Research & Development,Short Distance,Bachelor,Life Sciences,Better,116,Junior,Male,77,Junior Supervisor,Laboratory Technician,Married,6472,8989,1,Yes,15,Very High,1,2,8,5,8
Millennials,0,Travel_Rarely,817,Research & Development,Short Distance,Bachelor,Medical,Good,117,Junior,Female,60,Junior Supervisor,Laboratory Technician,Married,5363,10846,0,No,12,High,1,0,7,0,0
Gen Z,0,Travel_Rarely,305,Research & Development,Medium Distance,Bachelor,Life Sciences,Better,118,Junior,Male,58,Junior Supervisor,Healthcare Representative,Married,5294,9128,3,No,16,High,1,3,0,1,7
Millennials,0,Non-Travel,142,Sales,Short Distance,Master,Medical,Better,119,Junior,Male,69,Senior Supervisor,Sales Executive,Divorced,8834,24666,1,No,13,Medium,1,6,5,7,7
Millennials,0,Travel_Rarely,170,Research & Development,Short Distance,College,Medical,Good,120,Junior,Male,76,Junior Supervisor,Laboratory Technician,Divorced,3069,10302,0,No,15,High,1,3,8,0,7
Gen X,1,Travel_Rarely,266,Sales,Short Distance,Below College,Marketing,Good,121,Junior,Female,57,Senior Manager,Manager,Married,19845,25846,1,No,15,High,1,3,14,6,9
Millennials,0,Travel_Rarely,218,Sales,Short Distance,Bachelor,Technical Degree,Better,122,Junior,Male,100,Junior Supervisor,Sales Executive,Married,6929,12241,4,No,11,Medium,1,3,7,7,7
Gen Z,0,Travel_Rarely,1396,Sales,Short Distance,Bachelor,Life Sciences,Better,123,Junior,Male,99,Staff,Sales Representative,Single,2642,2755,1,No,11,High,0,6,0,0,0
Gen Z,0,Travel_Rarely,329,Research & Development,Long Distance,Bachelor,Medical,Better,124,Junior,Male,51,Staff,Laboratory Technician,Married,2408,7324,1,Yes,17,Medium,3,3,1,0,0
Gen Z,0,Travel_Rarely,157,Research & Development,Short Distance,Bachelor,Medical,Good,125,Junior,Male,95,Staff,Laboratory Technician,Single,2867,20006,0,No,13,Medium,0,6,7,7,6
Millennials,1,Non-Travel,1474,Sales,Medium Distance,Master,Other,Better,126,Junior,Male,60,Junior Supervisor,Sales Executive,Married,4707,23914,8,No,12,High,0,2,2,1,2
Millennials,0,Non-Travel,1097,Research & Development,Medium Distance,College,Medical,Good,127,Mid-level,Male,79,Senior Supervisor,Healthcare Representative,Married,9884,8302,2,Yes,13,Medium,1,3,0,2,3
Gen Y,0,Travel_Rarely,920,Research & Development,Short Distance,Bachelor,Life Sciences,Good,128,Senior,Male,96,Senior Manager,Research Director,Married,19740,18625,3,No,14,High,1,2,7,0,7
Millennials,0,Travel_Rarely,134,Research & Development,Short Distance,Bachelor,Life Sciences,Better,129,Junior,Male,90,Staff,Research Scientist,Single,2500,10515,0,No,14,Medium,0,2,1,0,2
Gen Y,0,Travel_Rarely,921,Research & Development,Short Distance,Bachelor,Life Sciences,Better,130,Junior,Female,96,Senior Supervisor,Healthcare Representative,Married,7879,14810,1,Yes,19,High,1,2,7,6,7
Gen Y,0,Travel_Rarely,930,Sales,Short Distance,Bachelor,Life Sciences,Good,131,Mid-level,Male,57,Junior Supervisor,Sales Executive,Divorced,8938,12227,2,No,11,Medium,1,5,4,0,4
Gen Y,0,Travel_Frequently,1297,Research & Development,Short Distance,Master,Medical,Better,132,Mid-level,Male,44,Junior Supervisor,Healthcare Representative,Single,5399,14511,4,No,12,Medium,0,3,2,0,3
Millennials,0,Travel_Rarely,309,Sales,Short Distance,Master,Life Sciences,Good,133,Mid-level,Female,88,Junior Supervisor,Sales Executive,Divorced,6694,24223,2,Yes,14,High,3,5,0,0,0
Gen Z,1,Travel_Rarely,135,Research & Development,Medium Distance,Master,Life Sciences,Better,134,Junior,Female,51,Staff,Research Scientist,Single,2394,25681,1,Yes,13,High,0,2,2,7,7
Gen Z,0,Travel_Rarely,1451,Research & Development,Short Distance,Below College,Life Sciences,Good,135,Junior,Male,67,Staff,Research Scientist,Married,3201,19911,0,No,17,Low,0,2,3,0,4
Gen Z,0,Travel_Frequently,294,Research & Development,Short Distance,College,Life Sciences,Better,136,Junior,Male,32,Senior Supervisor,Manufacturing Director,Divorced,8793,4809,1,No,21,Medium,2,4,7,1,7
Millennials,0,Travel_Rarely,342,Sales,Medium Distance,Master,Marketing,Good,137,Mid-level,Male,66,Junior Supervisor,Sales Executive,Divorced,6334,24558,4,No,19,High,2,2,0,0,0
Gen Z,0,Travel_Rarely,199,Research & Development,Short Distance,Bachelor,Life Sciences,Good,138,Junior,Male,55,Staff,Research Scientist,Married,2539,7950,1,No,13,High,1,0,2,2,2
